Date,Time,overall_rating,temperature,humidity,dew_point,precipitation,cloud_cover,low,medium,high,minutes_to_official_sunrise,rating_high_color,rating_low_color,Rating: Overall
12/12/2024,08:19,8,-1,93,3,0,24,20,7,0,-17,10,5,8
12/12/2024,07:55,4.8,-1.2,88,-2.9,0,24,20,7,0,-41,2,9,4.8
12/12/2024,07:44,6.2,-1,86,-3,0,24,20,7,0,-52,5,8,6.2
29/11/2024,08:06,8,5,85,2.7,0,100,27,18,100,-11,10,5,8
29/11/2024,07:23,7.4,3,93,2,0,100,24,25,100,6,9,5,7.4
24/11/2024,08:00,0.8,8.7,74,4.4,0,95,1,0,95,8,0,2,0.8
17/11/2024,07:45,8,2.2,83,-0.4,0,11,0,11,0,-9,10,5,8
25/10/2024,07:31,3.6,8,100,8,0,75,7,9,71,-34,0,9,3.6
25/10/2024,07:19,4,8,100,8,0,75,7,9,71,-46,0,10,4
18/09/2024,07:04,3.6,12.5,92,11.3,0,0,0,0,0,15,0,9,3.6
18/09/2024,06:51,3.6,12,100,12,0,0,0,0,0,2,0,9,3.6
15/09/2024,06:59,2.8,12.5,87,10.4,0,100,9,0,100,16,0,7,2.8
09/09/2024,06:44,1.6,10,71,5,0,35,0,35,0,13,0,4,1.6
03/05/2024,05:38,4,12,67,6,0,0,0,0,0,18,0,10,4
29/04/2024,05:39,7.6,7,87,5,0,12,5,7,5,10,8,7,7.6
25/04/2024,06:11,2.4,5,57,-3,0,7,6,0,2,32,0,6,2.4
17/04/2024,06:17,6.4,5,70,0,0,99,82,3,96,19,8,4,6.4
14/04/2024,06:23,3.2,5.6,75,1.4,0,76,1,59,71,17,0,8,3.2
14/04/2024,06:01,9,5.6,75,1.4,0,76,1,59,71,-5,9,9,9
10/04/2024,06:45,1.6,5,81,2,0,100,0,3,100,29,0,4,1.6
31/03/2024,06:47,6.2,5.8,95,5,0,86,0,0,86,5,5,8,6.2
17/03/2024,06:40,0,7.5,95,6.7,0,100,100,0,17,108,0,0,0
05/03/2024,06:51,0,7,81,4,0.1,100,100,100,4,95,0,0,0
24/02/2024,06:54,3.2,-1.5,93,-2.6,0,1,0,0,1,-23,0,8,3.2
08/02/2024,07:43,3.2,0.4,82,-2.3,0,100,3,0,100,-11,0,8,3.2
26/01/2024,07:34,2.4,4,75,0,0,6,1,5,0,-45,0,6,2.4
20/01/2024,07:43,0.4,5.6,88,3.8,0.4,100,100,100,76,-45,0,1,0.4
17/01/2024,08:20,2,-4,74,-8,0,0,0,0,0,-22,0,5,2
15/01/2024,07:01,0.4,-0.6,58,-7.9,0,22,22,0,0,-93,0,1,0.4
14/01/2024,08:23,1.6,0,87,-2,0,63,62,23,0,-13,0,4,1.6
15/12/2023,08:38,2,6,93,5,0,98,40,32,97,0,0,5,2
05/12/2023,07:56,0,2.6,90,1.1,0.1,37,29,20,0,-21,0,0,0
04/12/2023,08:04,0,3.9,88,2.1,0.6,75,57,49,0,-20,0,0,0
01/12/2023,08:26,2.4,-2,93,-3,0,99,99,10,0,7,0,6,2.4
30/11/2023,08:25,2,0,87,-2,0,19,19,0,0,8,0,5,2
25/11/2023,08:08,2,2.7,77,-1,0,17,6,0,12,0,0,5,2
21/11/2023,07:42,5,3.1,90,3,0,100,41,0,100,-18,5,5,5
